Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Djibouti,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170692422,0.0304916974,0.0319331146,0.0393494413,0.03142377,0.4002113116,1.9600592199,2.9500795239,4.3442546533,5.4496286959,5.4410561357,8.2838467431,13.1887858856,14.7663658567,18.6350870244,21.318095684
Dominica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6476174421,0.7848008356,0.9230463369,1.1428081654,1.7223561833,11.1019914467,17.5654030966,34.3728323699,60.558426332,75.4443235401,104.0756914119,130.0523131777,133.5113484646,145.019286829,155.8023525245,164.019209457
Dominican Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0440048225,0.0763642081,0.096050841,0.1358130885,0.2699702068,0.7071351055,1.0248215715,1.728709182,2.5152198042,5.0180393759,8.210355091,14.5547185414,19.192586189,23.2553801399,27.7554514174,39.1103689045,49.0053132034,57.8355602639,74.6044676081,88.0876326395,89.5788893679,87.2178016684
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1693269888,0.4776667516,0.5160447007,1.0744432332,2.0302709475,3.1542564208,3.9061328602,6.8447222427,12.2253486708,18.4644477761,26.8317749233,46.5227541973,62.208443172,71.7702327722,83.1236759021,92.8492565262,102.1845606754,104.545598663
Egypt,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0049410821,0.0055498687,0.0065011448,0.0070368922,0.0077649952,0.0083265016,0.0114577666,0.0120772549,0.0118716527,0.011674496,0.1018355445,0.1390095095,0.7237356723,2.0102465366,4.055566575,6.4050211193,8.1086112754,10.4922235017,18.3679399875,23.820926968,39.112370878,52.713130134,69.436615038,87.1056051191,101.076338461
El Salvador,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029226115,0.0859490591,0.2350262959,0.4018024648,0.6878282503,2.332625678,8.6509366963,12.5183471219,14.3777760308,14.842742425,19.1359840014,30.3971176979,39.86030606,63.4063584299,100.5984886085,113.3951848301,122.8202186765,124.339491422,125.8452240236
Equatorial Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133385521,0.0634939448,0.0608557923,0.1190473828,0.9608363119,2.7922821322,5.7717038611,7.2552574393,10.4951898459,15.9443445295,19.1761601976,23.2942404214,27.1769080832,29.3636170103,57.0087706899,59.149168371
Eritrea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4631406074,0.9013955158,1.3344419961,1.7577769669,2.1956652635,2.7683416117,3.5265783425,4.4677098876
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367180505,0.1635180603,0.4824478216,0.9389127317,2.1136800605,4.8953073373,10.2765987166,17.7644931653,28.0442504939,40.634718683,47.7831677334,64.9396599255,77.6831329445,93.1241003553,107.3888236269,123.4116892528,125.2425955396,121.0349850426,117.0620193809,123.2391100109,138.9831090078
Ethiopia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105528824,0.027077721,0.0408595476,0.0729555503,0.0725078991,0.2144509147,0.5529338153,1.1404937347,1.5549695313,2.4601826295,4.9905348407,8.2628546432,16.6717201125
Faeroe Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.0407490159,3.7307274701,3.5703957467,4.4523192949,5.8827587793,7.5202690252,10.74612536,14.689571216,23.8761925893,37.100758586,52.8215194788,73.9966768916,80.1019548365,86.1901283523,87.0985121638,103.0737493553,107.4055011118,112.8876268082,117.2092544987,122.0456598505,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1436547063,0.2836327163,0.4715099661,0.6556012936,0.9991444825,2.8974120336,6.7827743132,9.9331107784,11.0126222536,13.443870903,17.359254403,24.9224062158,34.3774379684,63.4585108714,71.1194557939,75.0889040892,81.0947418324,83.7166026029
Finland,0,,,,,0,,,,,0,0,0,0,0,0.4913078556,0.5890111245,0.7020069567,0.8700613469,1.0659457886,1.3797665786,1.7333058064,2.1441606763,2.7901613289,3.8254648641,5.171463976,6.3710682031,7.6671090573,9.6648077585,13.2818742175,20.3438974338,29.306363468,42.0795068237,55.2508588584,63.4141063678,72.073426026,80.5292583864,86.9060407269,91.1052576529,95.4446240356,100.4892510824,107.6731657962,114.9244740173,128.471988404,144.1530223647,156.3972049079,166.0238041736
France,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0162932343,0.0702225723,0.1750837948,0.3160679055,0.4993981476,0.6584023188,0.7636001613,0.9963032447,1.532217236,2.2517196578,4.2418241067,9.9832815686,19.1638292429,36.4815770376,49.201430807,62.2949174551,64.5514056815,69.2909749726,73.5089643756,78.8373025825,84.1701347216,89.6565911614,93.3550427448,95.4443422564,100.6570949308,105.0282155212
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532905773,1.2349435896,2.4155750511,4.8260905612,9.390147817,16.7902439845,27.8734965707,21.3265306122,24.199036065,38.1524667954,47.082826539,58.8875673623,66.9027530659,70.7436654432,77.800773297,79.7336425817,81.3899633643
Gabon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282460514,0.1172411974,0.2444807129,0.3678746136,0.6081120357,0.8272263709,0.8229649149,0.7367039479,9.7144439209,11.8749332035,21.6413851032,22.7706750139,36.4066030289,53.7443944062,64.2708375084,82.1136286848,89.6360088533,92.9263614423,106.943843854,117.3202490839
Gambia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197340164,0.0429300663,0.0741570119,0.1280431333,0.2672864212,0.3974293858,0.4120668319,0.4210958967,0.4317376515,4.1241350809,7.2672570102,10.5302655207,11.9822553069,16.4581778812,26.1329874313,50.2948741232,71.2750449696,78.0666859325,85.5329861131,89.015107795
Georgia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029590065,0.046070617,0.6091903677,1.2336302407,2.7729264912,4.103469093,6.4312852176,10.8866255631,15.5632970669,18.5999579167,26.2297615862,38.3514543112,58.8709217211,62.7008583033,64.8660266186,91.4470787943,102.3466479527
